Time (s), Speed
00:00:00,77.03,
00:00:01,115.39,
00:00:02,111.75,
00:00:03,57.69,
00:00:04,92.94,
00:00:05,111.75,
00:00:06,69.21,
00:00:07,40.50,
00:00:08,37.05,
00:00:09,115.39,
00:00:10,57.69,
00:00:11,57.69,
00:00:12,115.39,
00:00:13,33.46,
00:00:14,115.39,
00:00:15,115.39,
00:00:16,82.79,
00:00:17,82.79,
00:00:18,82.79,
00:00:19,115.39,
00:00:20,115.39,
00:00:21,57.69,
00:00:22,28.85,
00:00:23,57.69,
00:00:24,57.69,
00:00:25,57.69,
00:00:26,57.69,
00:00:27,33.99,
00:00:28,28.85,
00:00:29,78.92,
00:00:30,57.69,
00:00:31,57.69,
00:00:32,57.69,
00:00:33,57.69,
00:00:34,28.85,
00:00:35,82.79,
00:00:36,115.39,
00:00:37,115.39,
00:00:38,82.79,
00:00:39,115.39,
00:00:40,115.39,
00:00:41,115.39,
00:00:42,115.39,
00:00:43,115.39,
00:00:44,115.39,
00:00:45,115.39,
00:00:46,115.39,
00:00:47,115.39,
00:00:48,82.79,
00:00:49,82.79,
00:00:50,82.79,
00:00:51,82.79,
00:00:52,115.39,
00:00:53,115.39,
00:00:54,115.39,
00:00:55,115.39,
00:00:56,82.79,
00:00:57,82.79,
00:00:58,82.79,
00:00:59,93.73,
