Time (s), Speed
00:00:00,81.51,
00:00:01,77.75,
00:00:02,99.09,
00:00:03,99.09,
00:00:04,69.05,
00:00:05,71.65,
00:00:06,111.73,
00:00:07,34.68,
00:00:08,34.53,
00:00:09,44.84,
00:00:10,99.09,
00:00:11,99.09,
00:00:12,99.09,
00:00:13,138.11,
00:00:14,99.09,
00:00:15,99.09,
00:00:16,70.50,
00:00:17,99.09,
00:00:18,90.45,
00:00:19,99.08,
00:00:20,99.08,
00:00:21,99.09,
00:00:22,99.09,
00:00:23,99.09,
00:00:24,99.09,
00:00:25,99.09,
00:00:26,92.68,
00:00:27,111.73,
00:00:28,42.68,
00:00:29,72.78,
00:00:30,137.40,
00:00:31,138.11,
00:00:32,138.11,
00:00:33,138.11,
00:00:34,138.11,
00:00:35,138.11,
00:00:36,111.38,
00:00:37,103.58,
00:00:38,111.78,
00:00:39,138.11,
00:00:40,99.09,
00:00:41,99.09,
00:00:42,99.09,
00:00:43,138.11,
00:00:44,138.11,
00:00:45,138.11,
00:00:46,138.11,
00:00:47,138.11,
00:00:48,99.09,
00:00:49,99.09,
00:00:50,99.09,
00:00:51,99.09,
00:00:52,99.09,
00:00:53,99.09,
00:00:54,138.11,
