Time (s), Speed
00:00:00,52.42,
00:00:01,52.01,
00:00:02,80.48,
00:00:03,54.41,
00:00:04,54.41,
00:00:05,80.48,
00:00:06,56.09,
00:00:07,57.14,
00:00:08,34.04,
00:00:09,15.67,
00:00:10,24.21,
00:00:11,56.09,
00:00:12,34.66,
00:00:13,12.37,
00:00:14,80.64,
00:00:15,112.17,
00:00:16,28.04,
00:00:17,56.09,
00:00:18,80.48,
00:00:19,80.48,
00:00:20,112.17,
00:00:21,112.17,
00:00:22,112.17,
00:00:23,80.48,
00:00:24,97.70,
00:00:25,84.34,
00:00:26,80.48,
00:00:27,80.48,
00:00:28,80.48,
00:00:29,80.48,
00:00:30,80.48,
00:00:31,90.75,
00:00:32,80.48,
00:00:33,56.09,
00:00:34,56.09,
00:00:35,62.20,
00:00:36,88.87,
00:00:37,112.17,
00:00:38,112.17,
00:00:39,112.17,
00:00:40,112.17,
00:00:41,112.17,
00:00:42,112.17,
00:00:43,112.17,
00:00:44,112.17,
00:00:45,80.48,
00:00:46,80.48,
00:00:47,80.48,
00:00:48,80.48,
00:00:49,112.17,
00:00:50,112.17,
00:00:51,112.17,
00:00:52,112.17,
00:00:53,112.17,
00:00:54,112.17,
00:00:55,80.48,
00:00:56,80.48,
00:00:57,80.48,
00:00:58,80.48,
00:00:59,80.48,
00:01:00,112.17,
00:01:01,112.17,
00:01:02,112.17,
00:01:03,112.17,
00:01:04,112.17,
