Time (s), Speed
00:00:00,98.00,
00:00:01,98.00,
00:00:02,98.00,
00:00:03,98.00,
00:00:04,75.61,
00:00:05,79.28,
00:00:06,70.31,
00:00:07,70.31,
00:00:08,98.00,
00:00:09,98.00,
00:00:10,98.00,
00:00:11,98.00,
00:00:12,98.00,
00:00:13,98.00,
00:00:14,70.31,
00:00:15,98.00,
00:00:16,98.00,
00:00:17,70.31,
00:00:18,70.31,
00:00:19,70.31,
00:00:20,49.68,
00:00:21,98.00,
00:00:22,98.00,
00:00:23,98.00,
00:00:24,98.00,
00:00:25,49.00,
00:00:26,98.00,
00:00:27,98.00,
00:00:28,98.00,
00:00:29,98.00,
00:00:30,98.00,
00:00:31,98.00,
00:00:32,98.00,
00:00:33,98.00,
00:00:34,98.00,
00:00:35,98.00,
00:00:36,98.00,
00:00:37,98.00,
00:00:38,98.00,
00:00:39,98.00,
00:00:40,70.31,
00:00:41,98.00,
00:00:42,98.00,
00:00:43,98.00,
00:00:44,98.00,
00:00:45,98.00,
00:00:46,98.00,
00:00:47,98.00,
00:00:48,98.00,
00:00:49,98.00,
00:00:50,98.00,
00:00:51,98.00,
00:00:52,70.31,
00:00:53,98.00,
00:00:54,98.00,
00:00:55,59.65,
00:00:56,98.00,
