Time (s), Speed
00:00:00,79.35,
00:00:01,110.60,
00:00:02,59.48,
00:00:03,79.35,
00:00:04,79.35,
00:00:05,53.64,
00:00:06,53.64,
00:00:07,24.79,
00:00:08,26.09,
00:00:09,32.64,
00:00:10,20.97,
00:00:11,25.99,
00:00:12,32.78,
00:00:13,11.78,
00:00:14,49.00,
00:00:15,41.37,
00:00:16,110.60,
00:00:17,80.42,
00:00:18,79.35,
00:00:19,79.35,
00:00:20,79.35,
00:00:21,79.35,
00:00:22,79.35,
00:00:23,79.35,
00:00:24,79.35,
00:00:25,79.35,
00:00:26,55.30,
00:00:27,79.35,
00:00:28,75.24,
00:00:29,55.30,
00:00:30,86.29,
00:00:31,110.60,
00:00:32,90.06,
00:00:33,53.64,
00:00:34,60.29,
00:00:35,89.48,
00:00:36,89.48,
00:00:37,89.48,
00:00:38,34.18,
00:00:39,53.64,
00:00:40,34.18,
00:00:41,77.65,
00:00:42,89.48,
00:00:43,79.35,
00:00:44,79.35,
00:00:45,110.60,
00:00:46,110.60,
00:00:47,110.60,
00:00:48,110.60,
00:00:49,110.60,
00:00:50,110.60,
00:00:51,110.60,
00:00:52,110.60,
00:00:53,110.60,
00:00:54,99.19,
00:00:55,110.60,
00:00:56,79.35,
00:00:57,79.35,
00:00:58,110.60,
00:00:59,110.60,
00:01:00,110.60,
00:01:01,79.35,
00:01:02,110.60,
00:01:03,110.60,
00:01:04,79.35,
00:01:05,110.60,
00:01:06,79.35,
00:01:07,79.35,
00:01:08,79.35,
00:01:09,79.35,
00:01:10,79.35,
00:01:11,72.71,
00:01:12,86.55,
