Time (s),Duration (hh:mm:ss)
00:00:00,109.19,
00:00:01,150.00,
00:00:02,150.00,
00:00:03,150.00,
00:00:04,94.50,
00:00:05,107.62,
00:00:06,150.00,
00:00:07,37.50,
00:00:08,96.45,
00:00:09,121.35,
00:00:10,75.00,
00:00:11,48.21,
00:00:12,107.62,
00:00:13,107.62,
00:00:14,107.62,
00:00:15,89.70,
00:00:16,75.00,
00:00:17,107.62,
00:00:18,107.62,
00:00:19,107.62,
00:00:20,150.00,
00:00:21,150.00,
00:00:22,150.00,
00:00:23,75.00,
00:00:24,75.00,
00:00:25,107.62,
00:00:26,142.59,
00:00:27,150.00,
00:00:28,150.00,
00:00:29,150.00,
00:00:30,150.00,
00:00:31,150.00,
