Time (s),Duration (hh:mm:ss)
00:00:00,114.79,
00:00:01,77.60,
00:00:02,81.45,
00:00:03,130.66,
00:00:04,114.79,
00:00:05,77.60,
00:00:06,114.79,
00:00:07,49.44,
00:00:08,49.44,
00:00:09,12.05,
00:00:10,10.23,
00:00:11,28.91,
00:00:12,160.00,
00:00:13,160.00,
00:00:14,77.60,
00:00:15,114.79,
00:00:16,80.00,
00:00:17,114.79,
00:00:18,114.79,
00:00:19,114.79,
00:00:20,114.79,
00:00:21,114.79,
00:00:22,114.79,
00:00:23,114.79,
00:00:24,160.00,
00:00:25,160.00,
00:00:26,160.00,
00:00:27,114.79,
00:00:28,114.79,
00:00:29,144.43,
00:00:30,160.00,
