Time (s),Duration (hh:mm:ss)
00:00:00,42.30,
00:00:01,53.15,
00:00:02,57.75,
00:00:03,111.55,
00:00:04,115.81,
00:00:05,165.02,
00:00:06,165.02,
00:00:07,165.02,
00:00:08,165.02,
00:00:09,178.96,
00:00:10,71.07,
00:00:11,70.89,
00:00:12,71.07,
00:00:13,32.76,
00:00:14,71.07,
00:00:15,71.07,
00:00:16,71.07,
00:00:17,42.04,
00:00:18,40.58,
00:00:19,71.07,
00:00:20,43.68,
00:00:21,48.52,
00:00:22,53.81,
00:00:23,57.50,
00:00:24,95.30,
00:00:25,115.00,
00:00:26,115.00,
00:00:27,115.00,
00:00:28,115.00,
00:00:29,115.00,
00:00:30,115.00,
00:00:31,115.00,
00:00:32,115.00,
00:00:33,118.65,
00:00:34,115.00,
00:00:35,115.00,
00:00:36,165.02,
00:00:37,165.02,
00:00:38,165.02,
00:00:39,165.02,
00:00:40,165.02,
