Time (s),Duration (hh:mm:ss)
00:00:00,72.27,
00:00:01,151.49,
00:00:02,142.41,
00:00:03,165.02,
00:00:04,200.53,
00:00:05,186.07,
00:00:06,112.52,
00:00:07,57.50,
00:00:08,57.50,
00:00:09,57.50,
00:00:10,57.50,
00:00:11,57.50,
00:00:12,57.50,
00:00:13,114.86,
00:00:14,115.00,
00:00:15,115.00,
00:00:16,115.00,
00:00:17,115.00,
00:00:18,115.00,
00:00:19,115.00,
00:00:20,115.00,
00:00:21,115.00,
00:00:22,113.88,
00:00:23,115.00,
00:00:24,151.70,
00:00:25,165.02,
00:00:26,165.02,
00:00:27,165.02,
00:00:28,165.02,
00:00:29,165.02,
00:00:30,221.31,
