Time (s),Duration (hh:mm:ss)
00:00:00,72.75,
00:00:01,150.00,
00:00:02,150.00,
00:00:03,150.00,
00:00:04,107.62,
00:00:05,79.26,
00:00:06,94.81,
00:00:07,107.36,
00:00:08,72.75,
00:00:09,72.75,
00:00:10,46.35,
00:00:11,107.62,
00:00:12,75.00,
00:00:13,110.77,
00:00:14,150.00,
00:00:15,107.62,
00:00:16,80.83,
00:00:17,136.68,
00:00:18,150.00,
00:00:19,75.00,
00:00:20,150.00,
00:00:21,150.00,
00:00:22,150.00,
00:00:23,107.62,
00:00:24,150.00,
00:00:25,150.00,
00:00:26,150.00,
00:00:27,150.00,
00:00:28,150.00,
