Time (s),Duration (hh:mm:ss)
00:00:00,72.38,
00:00:01,165.02,
00:00:02,168.22,
00:00:03,165.02,
00:00:04,168.05,
00:00:05,165.02,
00:00:06,165.02,
00:00:07,115.00,
00:00:08,57.50,
00:00:09,20.84,
00:00:10,56.42,
00:00:11,205.08,
00:00:12,115.00,
00:00:13,174.74,
00:00:14,115.00,
00:00:15,115.00,
00:00:16,115.00,
00:00:17,124.50,
00:00:18,131.30,
00:00:19,115.00,
00:00:20,115.00,
00:00:21,115.00,
00:00:22,115.00,
00:00:23,165.02,
00:00:24,165.02,
00:00:25,165.02,
00:00:26,165.02,
00:00:27,180.77,
