Time (s),Duration (hh:mm:ss)
00:00:00,57.50,
00:00:01,127.18,
00:00:02,158.27,
00:00:03,137.86,
00:00:04,111.55,
00:00:05,165.02,
00:00:06,202.26,
00:00:07,67.74,
00:00:08,111.55,
00:00:09,57.50,
00:00:10,57.50,
00:00:11,57.50,
00:00:12,57.50,
00:00:13,57.50,
00:00:14,57.88,
00:00:15,54.70,
00:00:16,57.50,
00:00:17,57.50,
00:00:18,57.50,
00:00:19,57.50,
00:00:20,57.50,
00:00:21,57.50,
00:00:22,110.05,
00:00:23,160.70,
00:00:24,165.02,
00:00:25,165.02,
00:00:26,165.02,
00:00:27,57.50,
00:00:28,57.50,
00:00:29,57.50,
00:00:30,57.50,
00:00:31,87.16,
00:00:32,115.00,
00:00:33,115.00,
00:00:34,165.02,
00:00:35,165.02,
00:00:36,165.02,
00:00:37,165.02,
00:00:38,230.00,
