Time (s),Duration (hh:mm:ss)
00:00:00,89.79,
00:00:01,57.50,
00:00:02,117.33,
00:00:03,125.41,
00:00:04,82.20,
00:00:05,117.14,
00:00:06,52.07,
00:00:07,71.07,
00:00:08,71.07,
00:00:09,71.07,
00:00:10,48.59,
00:00:11,7.12,
00:00:12,38.28,
00:00:13,38.30,
00:00:14,71.07,
00:00:15,57.50,
00:00:16,114.88,
00:00:17,115.00,
00:00:18,108.33,
00:00:19,100.42,
00:00:20,159.93,
00:00:21,95.95,
00:00:22,115.00,
00:00:23,115.00,
00:00:24,115.00,
00:00:25,128.41,
00:00:26,115.00,
00:00:27,115.00,
00:00:28,115.00,
00:00:29,230.00,
00:00:30,230.00,
00:00:31,165.02,
00:00:32,137.94,
