Time (s),Duration (hh:mm:ss)
00:00:00,43.02,
00:00:01,72.75,
00:00:02,129.53,
00:00:03,107.62,
00:00:04,150.00,
00:00:05,150.00,
00:00:06,150.00,
00:00:07,107.62,
00:00:08,107.62,
00:00:09,107.62,
00:00:10,72.75,
00:00:11,72.75,
00:00:12,91.11,
00:00:13,72.75,
00:00:14,32.39,
00:00:15,31.34,
00:00:16,22.64,
00:00:17,25.98,
00:00:18,39.81,
00:00:19,8.15,
00:00:20,45.01,
00:00:21,85.53,
00:00:22,150.00,
00:00:23,150.00,
00:00:24,107.62,
00:00:25,107.62,
00:00:26,150.00,
00:00:27,150.00,
00:00:28,107.62,
00:00:29,41.08,
00:00:30,75.00,
00:00:31,80.71,
00:00:32,75.00,
00:00:33,81.01,
00:00:34,150.00,
00:00:35,150.00,
00:00:36,150.00,
00:00:37,150.00,
00:00:38,150.00,
00:00:39,150.00,
00:00:40,150.00,
