Time (s),Duration (hh:mm:ss)
00:00:00,102.73,
00:00:01,121.97,
00:00:02,85.00,
00:00:03,152.27,
00:00:04,85.00,
00:00:05,85.00,
00:00:06,121.97,
00:00:07,121.97,
00:00:08,117.40,
00:00:09,121.97,
00:00:10,83.17,
00:00:11,82.45,
00:00:12,46.82,
00:00:13,78.91,
00:00:14,36.03,
00:00:15,42.40,
00:00:16,42.50,
00:00:17,34.13,
00:00:18,36.28,
00:00:19,52.53,
00:00:20,22.20,
00:00:21,41.94,
00:00:22,52.53,
00:00:23,52.53,
00:00:24,14.07,
00:00:25,41.94,
00:00:26,87.52,
00:00:27,170.00,
00:00:28,170.00,
00:00:29,121.97,
00:00:30,121.97,
00:00:31,85.00,
00:00:32,85.00,
00:00:33,121.97,
00:00:34,85.00,
00:00:35,85.00,
00:00:36,88.99,
00:00:37,121.97,
00:00:38,121.97,
00:00:39,170.00,
00:00:40,170.00,
00:00:41,170.00,
00:00:42,170.00,
00:00:43,170.00,
