Time (s), Speed
00:00:00,91.87,
00:00:01,80.65,
00:00:02,80.65,
00:00:03,80.65,
00:00:04,80.65,
00:00:05,80.65,
00:00:06,80.65,
00:00:07,50.80,
00:00:08,54.52,
00:00:09,47.89,
00:00:10,28.10,
00:00:11,28.10,
00:00:12,56.20,
00:00:13,28.10,
00:00:14,56.20,
00:00:15,56.20,
00:00:16,80.65,
00:00:17,80.65,
00:00:18,112.41,
00:00:19,80.65,
00:00:20,80.65,
00:00:21,80.65,
00:00:22,80.65,
00:00:23,56.20,
00:00:24,80.65,
00:00:25,80.65,
00:00:26,80.65,
00:00:27,80.65,
00:00:28,80.65,
00:00:29,90.72,
00:00:30,90.94,
00:00:31,90.94,
00:00:32,54.52,
00:00:33,78.39,
00:00:34,34.74,
00:00:35,34.74,
00:00:36,34.74,
00:00:37,8.54,
00:00:38,39.45,
00:00:39,90.94,
00:00:40,90.94,
00:00:41,80.65,
00:00:42,112.41,
00:00:43,112.41,
00:00:44,112.41,
00:00:45,112.41,
00:00:46,112.41,
00:00:47,112.41,
00:00:48,112.41,
00:00:49,112.41,
00:00:50,112.41,
00:00:51,112.41,
00:00:52,112.41,
00:00:53,112.41,
00:00:54,112.41,
00:00:55,112.41,
00:00:56,112.41,
00:00:57,112.41,
00:00:58,112.41,
00:00:59,112.41,
00:01:00,112.41,
00:01:01,112.41,
00:01:02,112.41,
00:01:03,112.41,
00:01:04,112.41,
00:01:05,112.41,
00:01:06,112.41,
