Time (s), Speed
00:00:00,99.28,
00:00:01,99.28,
00:00:02,71.23,
00:00:03,71.23,
00:00:04,48.15,
00:00:05,37.09,
00:00:06,24.82,
00:00:07,30.68,
00:00:08,30.68,
00:00:09,9.12,
00:00:10,28.39,
00:00:11,29.90,
00:00:12,68.50,
00:00:13,99.28,
00:00:14,81.22,
00:00:15,81.25,
00:00:16,71.23,
00:00:17,99.28,
00:00:18,99.28,
00:00:19,99.28,
00:00:20,99.28,
00:00:21,99.28,
00:00:22,99.28,
00:00:23,99.28,
00:00:24,99.28,
00:00:25,99.28,
00:00:26,99.28,
00:00:27,99.28,
00:00:28,99.28,
00:00:29,71.23,
00:00:30,40.75,
00:00:31,51.79,
00:00:32,71.23,
00:00:33,99.28,
00:00:34,99.28,
00:00:35,99.28,
00:00:36,99.28,
00:00:37,99.28,
00:00:38,99.28,
00:00:39,99.28,
00:00:40,99.28,
00:00:41,99.28,
00:00:42,99.28,
00:00:43,99.28,
00:00:44,99.28,
00:00:45,99.28,
00:00:46,99.28,
00:00:47,99.28,
00:00:48,99.28,
00:00:49,99.28,
00:00:50,99.28,
00:00:51,99.28,
00:00:52,99.28,
00:00:53,99.28,
00:00:54,99.28,
00:00:55,99.28,
00:00:56,99.28,
00:00:57,99.28,
00:00:58,99.28,
00:00:59,99.28,
00:01:00,99.28,
00:01:01,99.28,
