Time (s), Speed
00:00:00,96.18,
00:00:01,96.18,
00:00:02,96.18,
00:00:03,108.45,
00:00:04,108.45,
00:00:05,41.43,
00:00:06,11.74,
00:00:07,9.05,
00:00:08,22.37,
00:00:09,36.12,
00:00:10,5.87,
00:00:11,5.74,
00:00:12,5.99,
00:00:13,25.25,
00:00:14,16.90,
00:00:15,41.43,
00:00:16,29.15,
00:00:17,67.03,
00:00:18,67.03,
00:00:19,69.81,
00:00:20,96.18,
00:00:21,96.18,
00:00:22,96.18,
00:00:23,96.18,
00:00:24,96.18,
00:00:25,96.18,
00:00:26,96.18,
00:00:27,134.06,
00:00:28,79.64,
00:00:29,96.18,
00:00:30,96.18,
00:00:31,96.18,
00:00:32,15.34,
00:00:33,74.31,
00:00:34,35.59,
00:00:35,65.02,
00:00:36,41.43,
00:00:37,67.03,
00:00:38,41.43,
00:00:39,68.34,
00:00:40,96.18,
00:00:41,134.06,
00:00:42,134.06,
00:00:43,134.06,
00:00:44,134.06,
00:00:45,134.06,
00:00:46,134.06,
00:00:47,96.18,
00:00:48,96.18,
00:00:49,96.18,
00:00:50,96.18,
00:00:51,96.18,
00:00:52,96.18,
00:00:53,96.18,
00:00:54,96.18,
00:00:55,96.18,
00:00:56,96.18,
00:00:57,96.18,
00:00:58,96.18,
00:00:59,96.18,
00:01:00,96.18,
00:01:01,96.18,
00:01:02,104.82,
00:01:03,96.18,
00:01:04,96.18,
00:01:05,96.18,
00:01:06,96.18,
00:01:07,100.79,
