Time (s), Speed
00:00:00,53.04,
00:00:01,93.12,
00:00:02,93.12,
00:00:03,93.12,
00:00:04,81.90,
00:00:05,91.66,
00:00:06,38.84,
00:00:07,39.23,
00:00:08,29.84,
00:00:09,20.26,
00:00:10,11.36,
00:00:11,21.33,
00:00:12,96.03,
00:00:13,93.12,
00:00:14,93.12,
00:00:15,93.12,
00:00:16,93.12,
00:00:17,93.12,
00:00:18,32.45,
00:00:19,67.94,
00:00:20,93.12,
00:00:21,32.45,
00:00:22,119.65,
00:00:23,93.12,
00:00:24,62.95,
00:00:25,78.66,
00:00:26,64.90,
00:00:27,64.90,
00:00:28,93.12,
00:00:29,62.95,
00:00:30,105.01,
00:00:31,62.95,
00:00:32,40.11,
00:00:33,62.95,
00:00:34,62.95,
00:00:35,105.01,
00:00:36,40.11,
00:00:37,59.94,
00:00:38,48.23,
00:00:39,93.12,
00:00:40,93.12,
00:00:41,93.12,
00:00:42,93.12,
00:00:43,93.12,
00:00:44,93.12,
00:00:45,93.12,
00:00:46,93.12,
00:00:47,93.12,
00:00:48,93.12,
00:00:49,129.80,
00:00:50,129.80,
00:00:51,129.80,
00:00:52,129.80,
00:00:53,129.80,
00:00:54,129.80,
00:00:55,129.80,
00:00:56,129.80,
00:00:57,129.80,
00:00:58,93.12,
00:00:59,93.12,
00:01:00,93.12,
00:01:01,93.12,
00:01:02,93.12,
