Time (s), Speed
00:00:00,73.79,
00:00:01,84.42,
00:00:02,102.85,
00:00:03,73.79,
00:00:04,73.79,
00:00:05,80.49,
00:00:06,73.79,
00:00:07,72.09,
00:00:08,31.78,
00:00:09,83.21,
00:00:10,43.98,
00:00:11,51.43,
00:00:12,32.78,
00:00:13,73.79,
00:00:14,73.79,
00:00:15,73.79,
00:00:16,98.34,
00:00:17,102.85,
00:00:18,102.85,
00:00:19,102.85,
00:00:20,73.79,
00:00:21,73.79,
00:00:22,73.79,
00:00:23,73.79,
00:00:24,73.79,
00:00:25,83.21,
00:00:26,72.36,
00:00:27,73.79,
00:00:28,83.21,
00:00:29,49.88,
00:00:30,49.88,
00:00:31,82.62,
00:00:32,83.21,
00:00:33,49.88,
00:00:34,83.21,
00:00:35,31.78,
00:00:36,31.78,
00:00:37,76.84,
00:00:38,55.70,
00:00:39,73.79,
00:00:40,73.79,
00:00:41,73.79,
00:00:42,102.85,
00:00:43,102.85,
00:00:44,102.85,
00:00:45,102.85,
00:00:46,102.85,
00:00:47,102.85,
00:00:48,102.85,
00:00:49,102.85,
00:00:50,102.85,
00:00:51,102.85,
00:00:52,102.85,
00:00:53,102.85,
00:00:54,102.85,
00:00:55,102.85,
00:00:56,102.85,
00:00:57,102.85,
00:00:58,102.85,
00:00:59,102.85,
00:01:00,102.85,
00:01:01,102.85,
00:01:02,102.85,
00:01:03,102.85,
