Time (s),Duration (hh:mm:ss)
00:00:00,47.71,
00:00:01,76.21,
00:00:02,106.70,
00:00:03,110.00,
00:00:04,157.84,
00:00:05,106.70,
00:00:06,56.46,
00:00:07,64.34,
00:00:08,67.98,
00:00:09,67.98,
00:00:10,53.70,
00:00:11,55.00,
00:00:12,91.51,
00:00:13,110.00,
00:00:14,157.84,
00:00:15,157.84,
00:00:16,110.00,
00:00:17,140.05,
00:00:18,106.70,
00:00:19,210.21,
00:00:20,110.00,
00:00:21,110.00,
00:00:22,111.78,
00:00:23,157.84,
00:00:24,110.00,
00:00:25,166.35,
00:00:26,157.84,
00:00:27,157.84,
00:00:28,157.84,
00:00:29,157.84,
00:00:30,203.30,
