Time (s),Duration (hh:mm:ss)
00:00:00,109.27,
00:00:01,165.02,
00:00:02,165.02,
00:00:03,119.92,
00:00:04,165.02,
00:00:05,115.00,
00:00:06,111.55,
00:00:07,57.50,
00:00:08,63.51,
00:00:09,71.07,
00:00:10,71.07,
00:00:11,71.07,
00:00:12,28.86,
00:00:13,24.59,
00:00:14,14.88,
00:00:15,57.50,
00:00:16,52.60,
00:00:17,126.02,
00:00:18,165.02,
00:00:19,57.50,
00:00:20,95.32,
00:00:21,115.00,
00:00:22,127.39,
00:00:23,165.02,
00:00:24,126.36,
00:00:25,165.02,
00:00:26,57.50,
00:00:27,116.65,
00:00:28,111.46,
00:00:29,111.55,
00:00:30,111.55,
00:00:31,186.07,
00:00:32,165.02,
00:00:33,165.02,
00:00:34,165.02,
00:00:35,165.02,
