Time (s),Duration (hh:mm:ss)
00:00:00,73.56,
00:00:01,149.61,
00:00:02,150.00,
00:00:03,46.35,
00:00:04,107.62,
00:00:05,107.62,
00:00:06,107.62,
00:00:07,37.50,
00:00:08,90.17,
00:00:09,77.81,
00:00:10,72.75,
00:00:11,72.75,
00:00:12,38.49,
00:00:13,29.08,
00:00:14,37.50,
00:00:15,65.50,
00:00:16,0.00,
00:00:17,46.49,
00:00:18,107.62,
00:00:19,75.00,
00:00:20,75.00,
00:00:21,107.62,
00:00:22,107.62,
00:00:23,129.01,
00:00:24,150.00,
00:00:25,150.00,
00:00:26,150.00,
00:00:27,150.00,
00:00:28,150.00,
00:00:29,150.00,
00:00:30,75.00,
00:00:31,37.50,
00:00:32,75.00,
00:00:33,32.69,
00:00:34,109.92,
00:00:35,150.00,
00:00:36,150.00,
00:00:37,150.00,
00:00:38,150.00,
00:00:39,150.00,
