Time (s),Duration (hh:mm:ss)
00:00:00,36.73,
00:00:01,72.75,
00:00:02,96.78,
00:00:03,127.81,
00:00:04,123.98,
00:00:05,72.75,
00:00:06,113.40,
00:00:07,107.62,
00:00:08,107.62,
00:00:09,75.00,
00:00:10,72.75,
00:00:11,72.75,
00:00:12,72.75,
00:00:13,37.50,
00:00:14,46.35,
00:00:15,54.59,
00:00:16,46.35,
00:00:17,47.58,
00:00:18,46.35,
00:00:19,46.35,
00:00:20,35.21,
00:00:21,37.50,
00:00:22,46.35,
00:00:23,46.35,
00:00:24,18.85,
00:00:25,41.30,
00:00:26,27.26,
00:00:27,23.86,
00:00:28,46.35,
00:00:29,94.51,
00:00:30,107.62,
00:00:31,150.00,
00:00:32,150.00,
00:00:33,150.00,
00:00:34,150.00,
00:00:35,107.62,
00:00:36,107.62,
00:00:37,107.62,
00:00:38,107.62,
00:00:39,107.62,
00:00:40,107.62,
00:00:41,107.62,
00:00:42,150.00,
00:00:43,107.62,
00:00:44,150.00,
00:00:45,150.00,
00:00:46,150.00,
00:00:47,150.00,
00:00:48,150.00,
00:00:49,150.00,
