Time (s),Duration (hh:mm:ss)
00:00:00,34.19,
00:00:01,71.26,
00:00:02,143.49,
00:00:03,143.49,
00:00:04,161.80,
00:00:05,103.93,
00:00:06,66.02,
00:00:07,143.49,
00:00:08,143.49,
00:00:09,148.32,
00:00:10,57.69,
00:00:11,54.44,
00:00:12,61.80,
00:00:13,61.80,
00:00:14,61.28,
00:00:15,61.80,
00:00:16,55.19,
00:00:17,61.80,
00:00:18,35.17,
00:00:19,61.80,
00:00:20,34.99,
00:00:21,61.80,
00:00:22,57.48,
00:00:23,61.80,
00:00:24,18.15,
00:00:25,22.68,
00:00:26,50.64,
00:00:27,143.49,
00:00:28,143.49,
00:00:29,143.49,
00:00:30,143.49,
00:00:31,143.49,
00:00:32,143.49,
00:00:33,143.49,
00:00:34,93.60,
00:00:35,94.87,
00:00:36,143.49,
00:00:37,143.49,
00:00:38,114.15,
00:00:39,101.82,
00:00:40,143.49,
00:00:41,184.06,
00:00:42,164.67,
00:00:43,143.49,
00:00:44,143.49,
