Time (s),Duration (hh:mm:ss)
00:00:00,45.80,
00:00:01,105.64,
00:00:02,165.02,
00:00:03,170.71,
00:00:04,165.02,
00:00:05,165.02,
00:00:06,111.55,
00:00:07,111.55,
00:00:08,70.00,
00:00:09,74.20,
00:00:10,63.03,
00:00:11,71.07,
00:00:12,32.75,
00:00:13,71.07,
00:00:14,71.07,
00:00:15,37.45,
00:00:16,71.07,
00:00:17,27.15,
00:00:18,64.25,
00:00:19,13.62,
00:00:20,35.68,
00:00:21,71.07,
00:00:22,52.78,
00:00:23,35.05,
00:00:24,38.13,
00:00:25,70.39,
00:00:26,164.91,
00:00:27,118.18,
00:00:28,146.05,
00:00:29,202.32,
00:00:30,165.02,
00:00:31,165.02,
00:00:32,105.93,
00:00:33,115.00,
00:00:34,115.00,
00:00:35,111.55,
00:00:36,115.00,
00:00:37,115.00,
00:00:38,114.32,
00:00:39,165.02,
00:00:40,165.02,
00:00:41,165.02,
00:00:42,165.02,
00:00:43,172.84,
