Time (s),Duration (hh:mm:ss)
00:00:00,91.65,
00:00:01,133.68,
00:00:02,111.55,
00:00:03,87.48,
00:00:04,124.79,
00:00:05,109.01,
00:00:06,108.05,
00:00:07,7.93,
00:00:08,39.20,
00:00:09,71.07,
00:00:10,71.07,
00:00:11,71.07,
00:00:12,44.86,
00:00:13,46.73,
00:00:14,31.45,
00:00:15,117.15,
00:00:16,115.00,
00:00:17,111.55,
00:00:18,111.55,
00:00:19,115.00,
00:00:20,124.03,
00:00:21,115.00,
00:00:22,115.00,
00:00:23,135.18,
00:00:24,139.48,
00:00:25,230.00,
00:00:26,230.00,
00:00:27,165.02,
00:00:28,165.02,
00:00:29,165.02,
00:00:30,165.02,
00:00:31,165.02,
