Time (s),Duration (hh:mm:ss)
00:00:00,87.30,
00:00:01,45.00,
00:00:02,90.00,
00:00:03,129.14,
00:00:04,137.31,
00:00:05,87.30,
00:00:06,87.30,
00:00:07,38.06,
00:00:08,44.41,
00:00:09,37.54,
00:00:10,113.98,
00:00:11,129.14,
00:00:12,129.14,
00:00:13,116.54,
00:00:14,129.14,
00:00:15,129.14,
00:00:16,180.00,
00:00:17,136.68,
00:00:18,129.14,
00:00:19,129.14,
00:00:20,129.14,
00:00:21,129.14,
00:00:22,131.31,
00:00:23,129.14,
00:00:24,180.00,
00:00:25,180.00,
00:00:26,180.00,
00:00:27,129.14,
00:00:28,175.63,
