Time (s),Duration (hh:mm:ss)
00:00:00,72.75,
00:00:01,127.50,
00:00:02,182.95,
00:00:03,182.95,
00:00:04,182.95,
00:00:05,206.30,
00:00:06,58.51,
00:00:07,63.94,
00:00:08,53.15,
00:00:09,45.45,
00:00:10,112.20,
00:00:11,74.04,
00:00:12,115.47,
00:00:13,63.75,
00:00:14,63.75,
00:00:15,118.76,
00:00:16,127.50,
00:00:17,127.50,
00:00:18,127.50,
00:00:19,127.50,
00:00:20,182.95,
00:00:21,182.95,
00:00:22,63.75,
00:00:23,127.29,
00:00:24,123.68,
00:00:25,123.68,
00:00:26,127.50,
00:00:27,127.50,
00:00:28,182.95,
00:00:29,182.95,
00:00:30,182.77,
00:00:31,182.95,
00:00:32,208.65,
