Time (s),Duration (hh:mm:ss)
00:00:00,38.93,
00:00:01,99.37,
00:00:02,139.91,
00:00:03,139.91,
00:00:04,139.91,
00:00:05,139.91,
00:00:06,139.91,
00:00:07,143.29,
00:00:08,139.91,
00:00:09,94.58,
00:00:10,66.02,
00:00:11,48.75,
00:00:12,48.75,
00:00:13,48.75,
00:00:14,48.75,
00:00:15,48.75,
00:00:16,41.14,
00:00:17,5.20,
00:00:18,28.52,
00:00:19,49.59,
00:00:20,48.75,
00:00:21,57.92,
00:00:22,28.32,
00:00:23,10.92,
00:00:24,53.48,
00:00:25,48.75,
00:00:26,48.55,
00:00:27,99.91,
00:00:28,97.50,
00:00:29,139.91,
00:00:30,121.16,
00:00:31,131.67,
00:00:32,139.91,
00:00:33,139.91,
00:00:34,97.50,
00:00:35,97.50,
00:00:36,97.50,
00:00:37,139.91,
00:00:38,97.50,
00:00:39,97.50,
00:00:40,97.50,
00:00:41,122.42,
00:00:42,139.91,
00:00:43,161.91,
00:00:44,195.00,
00:00:45,139.91,
00:00:46,195.00,
