Time (s),Duration (hh:mm:ss)
00:00:00,57.50,
00:00:01,120.70,
00:00:02,75.99,
00:00:03,108.04,
00:00:04,165.02,
00:00:05,105.48,
00:00:06,59.19,
00:00:07,79.99,
00:00:08,22.16,
00:00:09,92.65,
00:00:10,110.82,
00:00:11,115.00,
00:00:12,129.01,
00:00:13,57.50,
00:00:14,57.50,
00:00:15,63.15,
00:00:16,71.07,
00:00:17,57.50,
00:00:18,42.57,
00:00:19,46.18,
00:00:20,40.18,
00:00:21,57.50,
00:00:22,57.50,
00:00:23,57.50,
00:00:24,80.57,
00:00:25,115.00,
00:00:26,115.00,
00:00:27,117.76,
00:00:28,132.98,
00:00:29,174.31,
00:00:30,230.00,
00:00:31,115.00,
00:00:32,116.29,
00:00:33,115.00,
00:00:34,111.55,
00:00:35,116.17,
00:00:36,115.00,
00:00:37,142.35,
00:00:38,165.02,
00:00:39,165.02,
00:00:40,165.02,
00:00:41,230.00,
