Time (s),Duration (hh:mm:ss)
00:00:00,114.79,
00:00:01,80.00,
00:00:02,117.97,
00:00:03,80.00,
00:00:04,80.00,
00:00:05,79.88,
00:00:06,51.86,
00:00:07,49.44,
00:00:08,23.13,
00:00:09,54.69,
00:00:10,129.44,
00:00:11,114.79,
00:00:12,80.00,
00:00:13,114.79,
00:00:14,80.00,
00:00:15,117.72,
00:00:16,160.00,
00:00:17,160.00,
00:00:18,114.79,
00:00:19,114.79,
00:00:20,114.79,
00:00:21,114.79,
00:00:22,160.00,
00:00:23,160.00,
00:00:24,114.79,
00:00:25,160.00,
00:00:26,160.00,
00:00:27,160.00,
00:00:28,160.00,
00:00:29,160.00,
