Time (s),Duration (hh:mm:ss)
00:00:00,144.11,
00:00:01,150.00,
00:00:02,150.00,
00:00:03,116.57,
00:00:04,121.35,
00:00:05,107.62,
00:00:06,107.62,
00:00:07,107.62,
00:00:08,107.62,
00:00:09,75.00,
00:00:10,75.00,
00:00:11,75.00,
00:00:12,75.00,
00:00:13,37.50,
00:00:14,37.50,
00:00:15,75.00,
00:00:16,75.00,
00:00:17,75.00,
00:00:18,97.73,
00:00:19,107.62,
00:00:20,107.62,
00:00:21,107.62,
00:00:22,80.53,
00:00:23,150.00,
00:00:24,150.00,
00:00:25,150.00,
00:00:26,150.00,
00:00:27,150.00,
00:00:28,116.41,
00:00:29,118.66,
00:00:30,150.00,
00:00:31,150.00,
00:00:32,150.00,
00:00:33,150.00,
00:00:34,150.00,
00:00:35,150.00,
