Time (s),Duration (hh:mm:ss)
00:00:00,103.40,
00:00:01,121.97,
00:00:02,170.00,
00:00:03,85.00,
00:00:04,121.97,
00:00:05,170.00,
00:00:06,121.97,
00:00:07,85.00,
00:00:08,82.45,
00:00:09,56.01,
00:00:10,51.19,
00:00:11,85.00,
00:00:12,46.46,
00:00:13,34.72,
00:00:14,52.53,
00:00:15,42.50,
00:00:16,38.18,
00:00:17,52.53,
00:00:18,42.50,
00:00:19,42.50,
00:00:20,42.50,
00:00:21,65.13,
00:00:22,85.00,
00:00:23,85.00,
00:00:24,85.00,
00:00:25,121.97,
00:00:26,143.95,
00:00:27,170.00,
00:00:28,170.00,
00:00:29,170.00,
00:00:30,121.97,
00:00:31,86.44,
00:00:32,121.97,
00:00:33,84.70,
00:00:34,85.00,
00:00:35,132.68,
00:00:36,121.97,
00:00:37,121.97,
00:00:38,121.97,
00:00:39,121.97,
00:00:40,133.85,
00:00:41,170.00,
