Time (s),Duration (hh:mm:ss)
00:00:00,107.62,
00:00:01,150.00,
00:00:02,150.00,
00:00:03,107.62,
00:00:04,75.00,
00:00:05,59.04,
00:00:06,46.35,
00:00:07,121.35,
00:00:08,121.35,
00:00:09,107.62,
00:00:10,107.62,
00:00:11,150.00,
00:00:12,150.00,
00:00:13,150.00,
00:00:14,150.00,
00:00:15,150.00,
00:00:16,107.62,
00:00:17,107.62,
00:00:18,107.62,
00:00:19,107.62,
00:00:20,107.62,
00:00:21,107.62,
00:00:22,121.35,
00:00:23,121.35,
00:00:24,121.35,
00:00:25,107.62,
00:00:26,107.62,
00:00:27,107.62,
00:00:28,107.62,
00:00:29,107.62,
00:00:30,107.62,
