Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,200.00,
00:00:02,200.00,
00:00:03,143.49,
00:00:04,143.49,
00:00:05,100.00,
00:00:06,143.49,
00:00:07,97.00,
00:00:08,24.95,
00:00:09,61.80,
00:00:10,61.80,
00:00:11,50.00,
00:00:12,61.80,
00:00:13,97.00,
00:00:14,100.00,
00:00:15,100.00,
00:00:16,200.00,
00:00:17,143.49,
00:00:18,143.49,
00:00:19,143.49,
00:00:20,143.49,
00:00:21,143.49,
00:00:22,143.49,
00:00:23,143.49,
00:00:24,143.49,
00:00:25,161.80,
00:00:26,143.49,
00:00:27,143.49,
00:00:28,200.00,
00:00:29,143.49,
00:00:30,200.00,
