Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,143.49,
00:00:02,143.49,
00:00:03,143.49,
00:00:04,143.49,
00:00:05,143.49,
00:00:06,143.49,
00:00:07,143.49,
00:00:08,143.49,
00:00:09,100.00,
00:00:10,97.00,
00:00:11,61.80,
00:00:12,97.00,
00:00:13,50.00,
00:00:14,50.00,
00:00:15,97.00,
00:00:16,50.43,
00:00:17,50.00,
00:00:18,100.00,
00:00:19,100.00,
00:00:20,100.00,
00:00:21,100.00,
00:00:22,100.00,
00:00:23,143.49,
00:00:24,143.49,
00:00:25,143.49,
00:00:26,200.00,
00:00:27,200.00,
00:00:28,143.49,
00:00:29,143.49,
00:00:30,168.23,
00:00:31,195.80,
00:00:32,200.00,
00:00:33,183.33,
00:00:34,143.49,
00:00:35,200.00,
