Time (s),Duration (hh:mm:ss)
00:00:00,200.00,
00:00:01,97.00,
00:00:02,143.49,
00:00:03,200.00,
00:00:04,161.80,
00:00:05,200.00,
00:00:06,143.49,
00:00:07,100.00,
00:00:08,95.97,
00:00:09,100.00,
00:00:10,97.00,
00:00:11,61.80,
00:00:12,61.80,
00:00:13,61.80,
00:00:14,74.02,
00:00:15,13.96,
00:00:16,43.34,
00:00:17,50.00,
00:00:18,50.00,
00:00:19,50.00,
00:00:20,200.00,
00:00:21,200.00,
00:00:22,200.00,
00:00:23,200.00,
00:00:24,143.49,
00:00:25,143.49,
00:00:26,200.00,
00:00:27,200.00,
00:00:28,143.49,
00:00:29,143.49,
00:00:30,143.49,
00:00:31,143.49,
00:00:32,143.49,
00:00:33,143.49,
00:00:34,143.49,
