Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,143.49,
00:00:02,143.49,
00:00:03,97.00,
00:00:04,143.49,
00:00:05,50.00,
00:00:06,61.80,
00:00:07,61.80,
00:00:08,61.80,
00:00:09,61.80,
00:00:10,61.80,
00:00:11,61.80,
00:00:12,50.00,
00:00:13,50.00,
00:00:14,100.00,
00:00:15,143.49,
00:00:16,143.49,
00:00:17,143.49,
00:00:18,143.49,
00:00:19,143.49,
00:00:20,143.49,
00:00:21,143.49,
00:00:22,143.49,
00:00:23,143.49,
00:00:24,143.49,
00:00:25,161.80,
00:00:26,143.49,
00:00:27,160.11,
00:00:28,200.00,
00:00:29,143.49,
00:00:30,143.49,
00:00:31,143.49,
