Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,100.00,
00:00:02,100.00,
00:00:03,143.49,
00:00:04,97.00,
00:00:05,73.45,
00:00:06,97.00,
00:00:07,61.80,
00:00:08,61.80,
00:00:09,61.80,
00:00:10,61.80,
00:00:11,40.78,
00:00:12,61.80,
00:00:13,22.62,
00:00:14,100.00,
00:00:15,143.49,
00:00:16,100.00,
00:00:17,100.00,
00:00:18,143.49,
00:00:19,143.49,
00:00:20,120.01,
00:00:21,143.49,
00:00:22,143.49,
00:00:23,169.88,
00:00:24,143.49,
00:00:25,200.00,
00:00:26,97.00,
00:00:27,143.49,
00:00:28,143.49,
00:00:29,143.49,
00:00:30,200.00,
00:00:31,200.00,
