Time (s),Duration (hh:mm:ss)
00:00:00,143.49,
00:00:01,200.00,
00:00:02,200.00,
00:00:03,161.80,
00:00:04,200.00,
00:00:05,97.00,
00:00:06,143.49,
00:00:07,143.49,
00:00:08,97.00,
00:00:09,97.00,
00:00:10,50.00,
00:00:11,50.00,
00:00:12,200.00,
00:00:13,143.49,
00:00:14,143.49,
00:00:15,143.49,
00:00:16,143.49,
00:00:17,143.49,
00:00:18,189.59,
00:00:19,143.49,
00:00:20,143.49,
00:00:21,143.49,
00:00:22,143.49,
00:00:23,161.80,
00:00:24,161.80,
00:00:25,161.80,
00:00:26,192.83,
00:00:27,143.49,
00:00:28,143.49,
00:00:29,200.00,
