Time (s),Duration (hh:mm:ss)
00:00:00,100.00,
00:00:01,143.49,
00:00:02,143.49,
00:00:03,143.49,
00:00:04,143.49,
00:00:05,124.02,
00:00:06,200.00,
00:00:07,100.00,
00:00:08,97.00,
00:00:09,50.00,
00:00:10,50.00,
00:00:11,50.00,
00:00:12,97.00,
00:00:13,143.49,
00:00:14,100.00,
00:00:15,100.00,
00:00:16,161.80,
00:00:17,100.00,
00:00:18,200.00,
00:00:19,200.00,
00:00:20,200.00,
00:00:21,100.00,
00:00:22,200.00,
00:00:23,200.00,
00:00:24,143.49,
00:00:25,143.49,
00:00:26,143.49,
00:00:27,143.49,
00:00:28,143.49,
00:00:29,143.49,
