Time (s), Speed
00:00:00,75.71,
00:00:01,96.89,
00:00:02,54.99,
00:00:03,77.15,
00:00:04,96.89,
00:00:05,47.00,
00:00:06,24.22,
00:00:07,55.01,
00:00:08,24.22,
00:00:09,69.52,
00:00:10,29.94,
00:00:11,29.94,
00:00:12,69.52,
00:00:13,96.89,
00:00:14,96.89,
00:00:15,96.89,
00:00:16,96.89,
00:00:17,69.52,
00:00:18,69.52,
00:00:19,56.94,
00:00:20,96.89,
00:00:21,96.89,
00:00:22,48.45,
00:00:23,96.89,
00:00:24,96.89,
00:00:25,48.45,
00:00:26,48.45,
00:00:27,69.52,
00:00:28,48.45,
00:00:29,48.45,
00:00:30,47.00,
00:00:31,24.22,
00:00:32,24.22,
00:00:33,40.95,
00:00:34,24.22,
00:00:35,30.94,
00:00:36,24.22,
00:00:37,24.22,
00:00:38,24.22,
00:00:39,24.22,
00:00:40,27.09,
00:00:41,24.22,
00:00:42,21.90,
00:00:43,69.39,
00:00:44,96.89,
00:00:45,96.89,
00:00:46,96.89,
00:00:47,96.89,
00:00:48,96.89,
00:00:49,96.89,
00:00:50,69.52,
00:00:51,69.52,
00:00:52,96.89,
00:00:53,96.89,
00:00:54,96.89,
00:00:55,96.89,
00:00:56,96.89,
00:00:57,96.89,
00:00:58,96.89,
00:00:59,96.89,
00:01:00,96.89,
00:01:01,96.89,
00:01:02,96.89,
00:01:03,96.89,
00:01:04,96.89,
