Time (s), Speed
00:00:00,126.21,
00:00:01,126.21,
00:00:02,126.21,
00:00:03,90.55,
00:00:04,61.22,
00:00:05,61.22,
00:00:06,39.00,
00:00:07,35.23,
00:00:08,39.00,
00:00:09,30.13,
00:00:10,39.00,
00:00:11,126.21,
00:00:12,126.21,
00:00:13,126.21,
00:00:14,126.21,
00:00:15,126.21,
00:00:16,90.55,
00:00:17,90.55,
00:00:18,63.11,
00:00:19,86.14,
00:00:20,64.97,
00:00:21,90.55,
00:00:22,63.11,
00:00:23,63.11,
00:00:24,68.63,
00:00:25,62.67,
00:00:26,63.11,
00:00:27,63.11,
00:00:28,90.55,
00:00:29,61.22,
00:00:30,63.11,
00:00:31,31.55,
00:00:32,31.55,
00:00:33,47.85,
00:00:34,31.55,
00:00:35,126.21,
00:00:36,90.55,
00:00:37,90.55,
00:00:38,90.55,
00:00:39,90.55,
00:00:40,90.55,
00:00:41,90.55,
00:00:42,126.21,
00:00:43,126.21,
00:00:44,126.21,
00:00:45,126.21,
00:00:46,126.21,
00:00:47,126.21,
00:00:48,126.21,
00:00:49,126.21,
00:00:50,126.21,
00:00:51,90.55,
00:00:52,90.55,
