Time (s), Speed
00:00:00,99.42,
00:00:01,112.62,
00:00:02,86.84,
00:00:03,67.65,
00:00:04,67.65,
00:00:05,97.07,
00:00:06,34.62,
00:00:07,22.43,
00:00:08,33.82,
00:00:09,97.07,
00:00:10,80.17,
00:00:11,97.07,
00:00:12,135.29,
00:00:13,97.07,
00:00:14,97.07,
00:00:15,97.07,
00:00:16,97.07,
00:00:17,97.07,
00:00:18,97.07,
00:00:19,97.07,
00:00:20,97.07,
00:00:21,97.07,
00:00:22,97.07,
00:00:23,135.29,
00:00:24,97.07,
00:00:25,65.62,
00:00:26,46.33,
00:00:27,21.87,
00:00:28,31.91,
00:00:29,28.89,
00:00:30,109.45,
00:00:31,135.16,
00:00:32,135.29,
00:00:33,135.29,
00:00:34,135.29,
00:00:35,94.91,
00:00:36,104.68,
00:00:37,99.58,
00:00:38,135.29,
00:00:39,97.07,
00:00:40,97.07,
00:00:41,97.07,
00:00:42,67.65,
00:00:43,97.07,
00:00:44,97.07,
00:00:45,97.07,
00:00:46,97.07,
00:00:47,109.57,
00:00:48,67.65,
00:00:49,97.07,
00:00:50,135.29,
